modelo,prompt,metrica,count,mean,std,median,iqr,q25,q75,min,max
qwen3-32b,"Identity,_Intent_and_Behaviour",sentences_per_paragraph,10,1.50802,0.34624,1.49654,0.53932,1.2425,1.78182,1.05814,2.06667
qwen3-32b,"Identity,_Intent_and_Behaviour",syllables_per_content_word,10,2.73827,0.15679,2.7032,0.11369,2.68124,2.79493,2.45299,3.07101
qwen3-32b,"Identity,_Intent_and_Behaviour",cw_freq_brwac,10,3.55652,0.36975,3.55536,0.51745,3.2574,3.77485,3.00952,4.2115
qwen3-32b,"Identity,_Intent_and_Behaviour",noun_ratio,10,0.47995,0.05056,0.47139,0.07501,0.44106,0.51607,0.41231,0.56108
qwen3-32b,"Identity,_Intent_and_Behaviour",ttr,10,0.72573,0.03584,0.72694,0.04903,0.70373,0.75276,0.65821,0.77861
qwen3-32b,"Identity,_Intent_and_Behaviour",gunning_fox,10,19.31689,2.24858,19.21326,3.09012,17.98354,21.07366,14.79976,22.3
qwen3-32b,"Identity,_Intent_and_Behaviour",brunet,10,11.79813,0.89363,11.91215,1.09083,11.03999,12.13082,10.69567,13.66153
qwen3-32b,"Identity,_Intent_and_Behaviour",honore,10,901.01642,118.8759,875.58499,137.2675,856.79945,994.06696,674.25403,1065.11503
qwen3-32b,Tree_of_Thought,flesch,10,34.68005,12.29992,35.62248,10.68284,31.55156,42.2344,9.46335,49.4748
qwen3-32b,Tree_of_Thought,words_per_sentence,10,11.65511,4.46591,10.64286,6.85096,7.64904,14.5,6.7,18.4
qwen3-32b,Tree_of_Thought,sentences_per_paragraph,10,2.89533,2.10247,1.70833,2.34333,1.40667,3.75,1.25,7.0
qwen3-32b,Tree_of_Thought,syllables_per_content_word,10,2.90651,0.19825,2.8462,0.2087,2.76012,2.96882,2.71134,3.30645
qwen3-32b,Tree_of_Thought,cw_freq_brwac,10,3.84705,0.46156,3.75014,0.69607,3.55884,4.25491,3.23251,4.5166
qwen3-32b,Tree_of_Thought,noun_ratio,10,0.44325,0.0808,0.46222,0.11682,0.37776,0.49457,0.31081,0.55217
qwen3-32b,Tree_of_Thought,ttr,10,0.79279,0.04498,0.76879,0.0652,0.75967,0.82486,0.75786,0.87838
qwen3-32b,Tree_of_Thought,gunning_fox,10,21.36273,3.1865,20.34047,4.01728,18.99537,23.01264,17.90388,27.79478
qwen3-32b,Tree_of_Thought,brunet,10,9.88907,0.7693,9.86486,0.95538,9.41646,10.37184,8.68385,11.2933
qwen3-32b,Tree_of_Thought,honore,10,1344.62055,283.20907,1386.29574,288.90561,1233.81164,1522.71725,734.09822,1735.71517
qwen3-32b,Zero_Shot,flesch,10,37.67934,14.63478,40.17439,21.76365,27.82921,49.59287,11.84219,54.44998
qwen3-32b,Zero_Shot,words_per_sentence,10,12.75502,4.2457,13.46795,6.18465,10.34161,16.52626,6.25316,17.66667
qwen3-32b,Zero_Shot,sentences_per_paragraph,10,3.52118,3.77058,1.87381,1.06658,1.53342,2.6,1.28571,12.0
qwen3-32b,Zero_Shot,syllables_per_content_word,10,2.86026,0.23455,2.77632,0.39398,2.67726,3.07123,2.58726,3.22609
qwen3-32b,Zero_Shot,cw_freq_brwac,10,4.01332,0.4793,4.07274,0.67501,3.70182,4.37683,3.19457,4.64837
qwen3-32b,Zero_Shot,noun_ratio,10,0.42581,0.08775,0.39579,0.10989,0.3719,0.48179,0.30661,0.56812
qwen3-32b,Zero_Shot,ttr,10,0.7708,0.04024,0.77485,0.02709,0.7568,0.78389,0.70733,0.8302
qwen3-32b,Zero_Shot,gunning_fox,10,21.30845,2.92844,21.49798,4.81889,18.86658,23.68547,17.23811,24.75278
qwen3-32b,Zero_Shot,brunet,10,11.0722,0.96528,10.98475,1.40865,10.36635,11.775,9.79634,12.78035
qwen3-32b,Zero_Shot,honore,10,983.37521,222.53233,933.79139,261.96531,835.49232,1097.45763,694.46167,1436.70128
sabia1300_1500,Zero_Shot,flesch,10,-159.87855,323.51194,-20.8222,478.80968,-369.76737,109.04231,-683.29,134.99227
sabia1300_1500,Zero_Shot,words_per_sentence,10,304.12777,332.35961,166.13044,504.4103,20.21469,524.625,11.71739,835.0
sabia1300_1500,Zero_Shot,sentences_per_paragraph,10,7.88384,20.7757,1.05645,0.93137,1.0,1.93137,1.0,67.0
sabia1300_1500,Zero_Shot,syllables_per_content_word,10,1.4257,0.51856,1.13611,0.68674,1.02537,1.71212,1.0,2.30525
sabia1300_1500,Zero_Shot,cw_freq_brwac,10,3.35434,0.7579,3.242,1.19126,2.8519,4.04316,2.0245,4.31731
sabia1300_1500,Zero_Shot,noun_ratio,10,0.21473,0.09547,0.21852,0.06806,0.17393,0.24199,0.08249,0.43723
sabia1300_1500,Zero_Shot,ttr,10,0.09662,0.0616,0.07018,0.08932,0.04909,0.13841,0.04189,0.20835
sabia1300_1500,Zero_Shot,gunning_fox,10,123.78396,130.917,68.16611,197.49681,12.35319,209.85,9.17389,334.0
sabia1300_1500,Zero_Shot,brunet,10,60.43272,27.51002,60.64503,38.88499,41.88509,80.77008,23.22134,107.94844
sabia1300_1500,Zero_Shot,honore,10,475.91683,160.64713,442.73003,119.7729,382.82033,502.59323,311.62597,847.67414
ministral,"Identity,_Intent_and_Behaviour",flesch,10,50.9729,9.86748,50.56634,7.76207,45.48085,53.24292,38.61404,72.12101
ministral,"Identity,_Intent_and_Behaviour",words_per_sentence,10,11.91845,3.84014,11.21116,3.81418,9.04899,12.86317,7.94737,20.66667
ministral,"Identity,_Intent_and_Behaviour",sentences_per_paragraph,10,1.76144,0.5754,1.69079,0.76503,1.29136,2.05639,1.09091,2.70833
ministral,"Identity,_Intent_and_Behaviour",syllables_per_content_word,10,2.65848,0.15145,2.70898,0.15814,2.57728,2.73543,2.34109,2.87078
ministral,"Identity,_Intent_and_Behaviour",cw_freq_brwac,10,3.41601,0.3509,3.47879,0.4115,3.21521,3.62671,2.6847,3.90362
ministral,"Identity,_Intent_and_Behaviour",noun_ratio,10,0.49386,0.07112,0.4842,0.06147,0.45133,0.5128,0.40665,0.66801
ministral,"Identity,_Intent_and_Behaviour",ttr,10,0.69999,0.02382,0.70006,0.02449,0.68615,0.71064,0.65628,0.73669
